公司,公司狀態,產業,漲跌幅
台積電,"上市","半導體業","0.82"
聯電,"上市","半導體業","0.92"
鴻海,"上市","其他電子業","2.56"
長榮,"上市","航運業","1.7"
陽明,"上市","航運業","3.74"
力機電,"興櫃","n/a","4.06"
富邦金,"上市","金融保險","-0.9"
旺宏,"上市","半導體業","2.65"
華邦電,"上市","半導體業","0.0"
國泰金,"上市","金融保險","0.33"
國巨,"上市","電子零組件業","1.24"
台達電,"上市","電子零組件業","0.18"
禾伸堂,"上市","電子零組件業","1.2"
群創,"上市","光電業","2.41"
和碩,"上市",電腦及週邊設備業,"-0.83"
聯發科,"上市","半導體業","1.24"
鴻準,"上市","其他電子業","2.81"
華新科,"上市","電子零組件業","-1.55"
友達,"上市","光電業","0.81"
台達化,"上市",塑膠工業,"2.92"
華航,"上市","航運業","1.07"
先進光,"上櫃","光電業","9.93"
技嘉,"上市",電腦及週邊設備業,"-2.4"
敦泰,"上市","半導體業","9.82"
中鋼,"上市","鋼鐵工業","0.39"
南亞科,"上市","半導體業","2.3"
天鈺,"上市","半導體業","1.67"
佳凌,"上市","光電業","-2.16"
驊訊,"上櫃","半導體業","-2.86"
兆豐金,"上市","金融保險","-0.33"